日付,区分,時限,科目コード,科目名,担当教員,講義室
3(月),授業&試験,1-2,LAE.E114-04,英語第四 4-LS,※YAMADA SUSAN KAY ADAMS,W371
3(月),授業&試験,1-2,LAE.E114-06,英語第四 6-LS,※近藤 章子,H102
3(月),授業&試験,1-2,LAE.E114-07,英語第四 7-LS,※中村 彰,3ラボ
3(月),授業&試験,1-2,LAE.E114-08,英語第四 8-LS,田村 斉敏,W936
3(月),授業,1-2,LAE.E114-09,英語第四 9-LS,KIYAMA LORINDA ROBERTSON,H115
3(月),授業&試験,1-2,LAE.E114-10,英語第四 10-LS,薩摩 竜郎Satsuma Tatsuro,4ラボ
3(月),授業&試験,1-2,LAE.E114-11,英語第四 11-RW,北川 依子Kitagawa Yoriko,H114
3(月),授業&試験,1-2,LAE.E114-12,英語第四 12-RW,原田 大介Harada Daisuke,H112
3(月),授業&試験,1-2,LAE.E114-13,英語第四 13-RW,※小堀 洋,H103
3(月),授業&試験,1-2,LAE.E114-14,英語第四 14-RW,※宇貫 亮,W331
3(月),授業&試験,1-2,LAE.E114-15,英語第四 15-RW,小泉 勇人,W321
3(月),授業&試験,1-2,LAE.E114-16,英語第四 16-RW,※矢向 寛子,W351
3(月),授業&試験,1-2,LAE.E114-17,英語第四 17-RW,※木村 政則,S515
3(月),授業&試験,1-2,LAE.E114-18,英語第四 18-RW,※丸山 令子,S514
3(月),授業&試験,1-2,LAE.E114-19,英語第四 19-RW,※宮永 隆一朗,W935
3(月),授業&試験,1-2,LAE.E114-20,英語第四 20-RW,石原 由貴,W932
3(月),授業&試験,1-2,LAE.E114-21,英語第四 21-RW,山根 亮一,S423
3(月),授業,1-2,LAE.E234,英語スピーキング演習第八,安納 真理子Anno Mariko,W931
3(月),授業&試験,1-2,LAE.E354,TOEFL対策セミナー（リスニング＆スピーキング）第十二,※BURNS MARK DEREK,1ラボ
3(月),期末試験,1-2,LAH.S201,法学（憲法）Ｂ,※松村 芳明,H135
3(月),期末試験,1-2,LAH.T203,技術史Ｂ,※詫間 直樹,W521
3(月),期末試験,1-2,LAS.I122-01,コンピュータサイエンス第二 1a(CS2),鹿島 亮,W242
3(月),授業,1-2,LAS.M106-06,線形代数学第二 Q(41～50),※寺尾 宏明,H101
3(月),授業,1-2,LAS.M106-07,線形代数学第二 R(51～60),土岡 俊介,W541
3(月),期末試験,1-2,PHY.C343,化学物理学,金森 英人Kanamori Hideto,H136
3(月),期末試験,1-2,TSE.A311,原子核工学概論,"小栗 慶之,小原 徹 他","S221,S222"
3(月),授業,1-4,LAH.H203,文化人類学Ｂ,※田中 理恵子,W621
3(月),授業&試験,3-4,LAE.E214-06,英語第八 6-LS,※松井 恭子,H104
3(月),授業,3-4,CVE.M203,測量学,"千々和 伸浩,※新名 恭仁",M111
3(月),期末試験,3-4,ICT.C214,通信方式,府 川 和 彦 Fukawa Kazuhiko,S421
3(月),授業&試験,3-4,LAE.E214-01,英語第八 1-LS,※MITCHELL JON,W323
3(月),授業&試験,3-4,LAE.E214-02,英語第八 2-LS-ADV,※STONEBURGH MARK,W322
3(月),授業&試験,3-4,LAE.E214-03,英語第八 3-LS-ADV,※NARUM PAUL TIMOTHY,W332
3(月),授業&試験,3-4,LAE.E214-04,英語第八 4-LS,※YAMADA SUSAN KAY ADAMS,W371
3(月),授業&試験,3-4,LAE.E214-05,英語第八 5-LS,※BURNS MARK DEREK,1ラボ
3(月),授業&試験,3-4,LAE.E214-07,英語第八 7-LS,※矢向 寛子,W351
3(月),授業&試験,3-4,LAE.E214-08,英語第八 8-LS,※中村 彰,3ラボ
3(月),授業&試験,3-4,LAE.E214-09,英語第八 9-RW,※宇貫 亮,W331
3(月),授業&試験,3-4,LAE.E214-10,英語第八 10-RW,※近藤 章子,H102
3(月),授業&試験,3-4,LAE.E214-11,英語第八 11-RW,※宮永 隆一朗,W934
3(月),授業&試験,3-4,LAE.E214-12,英語第八 12-RW,北川 依子Kitagawa Yoriko,4ラボ
3(月),授業&試験,3-4,LAE.E214-13,英語第八 13-RW,※小堀 洋,H113
3(月),授業&試験,3-4,LAE.E214-14,英語第八 14-RW,※丸山 令子,S514
3(月),授業&試験,3-4,LAE.E214-15,英語第八 15-RW,※木村 政則,S515
3(月),授業&試験,3-4,LAE.E214-16,英語第八 16-RW,木内 久美子,H116
3(月),授業&試験,3-4,LAE.E244-01,英語プレゼンテーション演習第八 1,※ANTHONY PAGE,H119A
3(月),期末試験,3-4,LAS.I122-03,コンピュータサイエンス第二 2a(CS2),鹿島 亮,W242
3(月),授業,3-4,LAS.I122-13,コンピュータサイエンス第二 EN(CS2),BONNET FRANCOIS,学術国際情報センター情報棟３階第１実習室
3(月),授業,3-4,LAS.M105-05,微分積分学第二 M(1～10),※申 正善,H121
3(月),授業,3-4,LAS.M105-06,微分積分学第二 N(11～20),土岡 俊介,W541
3(月),期末試験,3-4,MAT.P205,物理化学(相平衡）,塩谷 正俊,S8-102
3(月),授業,3-4,MEC.B232,基礎数値計算法,"長﨑 孝夫,肖 鋒","石川台3号館301,302,303,310号室"
3(月),期末試験,3-4,MTH.C204,解析学概論第四,"隠居 良行, 三浦 達哉",H103
3(月),授業,3-4,TSE.A205-02,流体工学基礎,"木内 豪, 髙木 泰士 他",W241
3(月),期末試験,5-6,ARC.E304,建築設備の制御,"※岩瀬 和夫,※田村 一",M113
3(月),授業,5-6,EEE.C211,アナログ電子回路,"鈴木 左文,ファム ナムハイSuzuki Safumi,Pham Nam Hai",S221
3(月),期末試験,5-6,IEE.A206,オペレーションズ・リサーチ 基礎,"水野 眞治,中田 和秀 他",H121
3(月),授業&試験,5-6,LAE.E214-17,英語第八 17-LS,※MITCHELL JON,4ラボ
3(月),授業&試験,5-6,LAE.E214-18,英語第八 18-LS-ADV,※STONEBURGH MARK,H119A
3(月),授業&試験,5-6,LAE.E214-19,英語第八 19-LS,※NARUM PAUL TIMOTHY,H104
3(月),授業&試験,5-6,LAE.E214-20,英語第八 20-LS,※BURNS MARK DEREK,1ラボ
3(月),授業&試験,5-6,LAE.E214-21,英語第八 21-RW,※中村 彰,3ラボ
3(月),授業&試験,5-6,LAE.E214-22,英語第八 22-RW,※宇貫 亮,W322
3(月),授業&試験,5-6,LAE.E214-23,英語第八 23-RW,※小堀 洋,W331
3(月),授業&試験,5-6,LAE.E344,アカデミックプレゼンテーション第十二,※ANTHONY PAGE,W332
3(月),授業,5-6,LAH.H104,文学Ａ,磯﨑 憲一郎,W631
3(月),授業,5-6,LAH.H106,宗教学Ａ,弓山 達也,W541
